So. 08.09.2019;17:00;403201;35204;HV Barsinghausen;TuS Bothfeld v. 1904 e.V.
So. 22.09.2019;14:00;403280;35207;TuS Bothfeld v. 1904 e.V.;HSG Wennigsen/Gehrden
So. 29.09.2019;16:30;403376;35209;RSV Seelze;TuS Bothfeld v. 1904 e.V.
So. 27.10.2019;18:20;403259;35214;TuS Bothfeld v. 1904 e.V.;TuS Vinnhorst II
Sa. 09.11.2019;16:15;403331;35219;Lehrter SV;TuS Bothfeld v. 1904 e.V.
Sa. 16.11.2019;17:00;403252;35222;SC Germania List;TuS Bothfeld v. 1904 e.V.
So. 01.12.2019;17:15;403280;35228;TuS Bothfeld v. 1904 e.V.;Mellendorfer TV
Sa. 07.12.2019;15:50;403280;35231;TuS Bothfeld v. 1904 e.V.;HV Barsinghausen
Sa. 18.01.2020;17:00;403400;35235;HSG Wennigsen/Gehrden;TuS Bothfeld v. 1904 e.V.
So. 26.01.2020;18:20;403259;35237;TuS Bothfeld v. 1904 e.V.;RSV Seelze
So. 16.02.2020;12:00;403277;35242;TuS Vinnhorst II;TuS Bothfeld v. 1904 e.V.
So. 23.02.2020;17:30;403259;35246;TuS Bothfeld v. 1904 e.V.;Lehrter SV
So. 08.03.2020;18:45;403259;35252;TuS Bothfeld v. 1904 e.V.;SC Germania List
So. 15.03.2020;16:15;403416;35254;Mellendorfer TV;TuS Bothfeld v. 1904 e.V.
