Dingelbe, SH (405110);Alte Zuckerfabrik, 31174 Schellerten (OT Dingelbe)
Aerzen, Hummetal-SH (402101);Tannenweg, 31855 Aerzen 
Aerzen, KS Tannenweg (402102);Tannenweg 9 (Zufahrt Burgstraße), 31855 Aerzen
Alfeld, SH BBS (405119);Hildesheimer Straße 55, 31061 Alfeld/Leine 
Alfeld, SH Gymnasium (405118);Antonianger, 31061 Alfeld/Leine 
Algermissen, SH (405126);Ostpreußenstraße 16, 31191 Algermissen 
Amelgatzen, SH (402115);Amelgatzer Straße, 31860 Emmerthal (OT Amelgatzen)
Bad Münder, SH Abraham-Lincoln-Schule (402105);Bahnhofstraße 52, 31848 Bad Münder 
Bad Münder, SH HS (402106);Wallstraße 20, 31848 Bad Münder 
Bad Nenndorf, SH SZ (406102);Bahnhofstraße 65, 31542 Bad Nenndorf 
Bad Nenndorf, SH Waltringhausen (406131);Sportplatzweg, 31542 Bad Nenndorf 
Bad Nenndorf, VfL-Dorado (406101);Bahnhofstraße 59, 31542 Bad Nenndorf 
Bad Pyrmont, SH Bahnhofstraße (402109);Bahnhofstraße, 31812 Bad Pyrmont 
Bad Pyrmont, SH Südstraße (402108);Südstraße, 31812 Bad Pyrmont 
Bad Salzdetfurth, SH Schulzentrum (405114);Birkenweg, 31162 Bad Salzdetfurth 
Beachanlage Himmelsthür (BN0040);Julianen-Aue, 31137 Hildesheim 
Beachplatz A Großenheidorn (BN002A);Am Bahnhof, 31515 Wunstorf 
Beachplatz Algermissen (BN0030);Ostpreußenstraße 16, 31191 Algermissen 
Beachplatz B Großenheidorn (BN002B);Am Bahnhof, 31515 Wunstorf 
Beachplatz Hess.Oldendorf (BN0140);Dornröschenstraße, 31840 Hess. Oldendorf 
Beachplatz Sarstedt (BN0130);Friedrich-Ludwig-Jahn-Str. 42, 31157 Sarstedt 
Billerbeck Holzminden, SH (402157);Wilhelmstraße, 37603 Holzminden 
Bockenem, SZ, Ambergau (405129);Mahlumer Straße 20, 31167 Bockenem 
Bodenwerder, SH SZ (402151);Adolf-Reichwein-Straße, 37619 Bodenwerder 
Bückeburg, Dr.-Faust-SH (406103);Unterwallweg, 31675 Bückeburg 
Bückeburg, SH Grundschule Petzer Feld (406124);Petzer Straße, 31675 Bückeburg 
Bückeburg, SH Gymnasium (406117);Lulu-von-Strauß-und-Torney-Straße, 31675 Bückeburg
Delligsen, SH SZ (405117);August-Reuter-Straße, 31073 Delligsen 
Diekholzen, Steinberg-Sporthalle (405108);Langes Feld, 31199 Diekholzen 
Duingen, SH GS (405131);Lübecker Straße 1 A, 31089 Duingen 
Elze, SH (405121);Sehlder Landstraße/Stettiner Straße, 31008 Elze/Leine
Emmerthal-Kirchohsen, SH 1 (402114);Neue Straße, 31860 Emmerthal (OT Kirchohsen) 
Emmerthal-Kirchohsen, SH 2 (402113);Neue Straße, 31860 Emmerthal (OT Kirchohsen) 
Giesen, SH (405123);Emmerker Straße 6, 31180 Giesen 
Gronau, SH (405120);Am Bahnhof / Lindenallee, 31028 Gronau / Leine
Groß-Berkel, SH (402103);Ostlandstraße, 31855 Aerzen (OT Groß Berkel) 
Großenheidorn, SH (403410);Am Bahnhof 14, 31515 Wunstorf 
Hameln, Afferde (402125);Eintrachtweg 3, 31789 Hameln (OT Afferde) 
Hameln, Einsiedlerbach (402123);Einsiedlerbach, 31785 Hameln 
Hameln, Hohes Feld (402130);Bertholdsweg, 31787 Hameln 
Hameln, Klein-Berkel (402127);Schulstraße, 31789 Hameln (OT Klein Berkel) 
Hameln, Nord (402121);Pestalozzistraße, 31785 Hameln 
Hameln, Rattenfänger-Halle (402120);Mühlenstraße, 31785 Hameln 
Hameln, Viktoria-Luise-Gymnasium (402132);Eingang Kaiserstraße, 31785 Hameln 
Hameln, West (402122);Breslauer Allee, 31787 Hameln 
Harsum, SH RS (405125);Haseder Weg, 31177 Harsum 
Haste, SH (406106);Kirchweg 18, 31559 Haste 
Hessisch Oldendorf, KSH (402136);Henningstraße, 31840 Hessisch Oldendorf 
Hessisch Oldendorf, VfL SH am Rosenbusch (402135);Dornröschenstraße, 31840 Hessisch Oldendorf 
Hildesheim, Halle 39 (405128);Schinkelstr. 7, 31137 Hildesheim 
Hildesheim, SH Gymnasium (405107);Jahnstraße, 31137 Hildesheim (OT Himmelsthür)
Hildesheim, SH Kreisberufsschule (405106);Steuerwalder Straße, 31137 Hildesheim (OT Steuerwald)
Hildesheim, SH Ochtersum (405105);Schlesierstraße, 31139 Hildesheim (OT Ochtersum)
Hildesheim, SH Robert-Bosch-Gesamtschule (405104);Richthofenstraße, 31137 Hildesheim (OT Steuerwald)
Hildesheim, SH Scharnhorst-Gymnasium (405103);Eichendorffstraße, 31135 Hildesheim (OT Mitte) 
Hildesheim, SH Stadtmitte (405102);Pfaffenstieg, 31134 Hildesheim (OT Mitte) 
Hildesheim, Volksbank-Arena (405101);Pappelallee 1-3, 31137 Hildesheim (OT Mitte) 
Holle, SH (405112);Am Mohldberg, 31188 Holle 
Holtorf, SH (406140);Am Dobben, 31582 Nienburg (OT Holtorf) 
Holzminden, SH BBS (402159);Von-Langen-Allee 5, 37603 Holzminden 
Holzminden, SH Liebigstraße (402158);Liebigstraße, 37603 Holzminden 
Lamspringe, SH (405115);Heberweg, 31195 Lamspringe 
Liebenau, SH St.-Laurentius-Schule (406148);Schloßstraße 10, 31618 Liebenau 
Loccum, SH (406118);Walter-Haaren-Straße 4, 31547 Rehburg-Loccum (OT Loccum)
Lügde, Rambergsweg 1, Ramberghalle, Johannes Giga Schule (402140);Rambergsweg 1, 32676 Lügde 
Nordstemmen, SH SZ (405122);Jahnstraße 3, 31171 Nordstemmen 
Obernkirchen, Grundschule (406134);Kammweg rechts, 31683 Obernkirchen 
Obernkirchen, Kreissporthalle (406112);Kammweg links, 31683 Obernkirchen 
Rinteln, Kreissporthalle (406127);Burgfeldsweide 4, 31737 Rinteln 
Rinteln, Kreissporthalle 2 (406128);Burgfeldsweide 4, 31737 Rinteln 
Rodenberg, Kreissporthalle (406135);Suntalstraße 19, 31552 Rodenberg 
Rodewald, SH Hauptschule (406137);Am Schwimmbad, 31637 Rodewald 
Sachsenhagen, SH Grundschule (406125);Am Ziegenbach, 31553 Sachsenhagen 
Sarstedt, SH Gymnasium (405129);Am Wellweg/ An der Sporthalle, 31157 Sarstedt 
Sarstedt, SH SZ (405124);Am Wellweg/ An der Sporthalle, 31157 Sarstedt 
Schellerten, SH (405109);Holztrift, 31174 Schellerten 
Schulzentrum Steinhude (403409);Bruchdamm/ Meerstraße 10, 31515 Wunstorf 
Söhlde, SH Schulzentrum (405111);Hinter dem Knick, 31185 Söhlde 
Söhlde-Hoheneggelsen, SH (405127);Friederich-Ludwig-Jahn-Str., 31185 Söhlde 
Sporthalle Rodenberg (406139);Im Jagdgarten 1, 31552 Rodenberg 
Sporthalle Rodenberg (406135);Im Jagdgarten 1, 31552 Rodenberg 
Stadthagen, Kreissporthalle (406138);Jahnstraße, 31655 Stadthagen 
Stadthagen, SH II (406130);Hinter der Burg, 31655 Stadthagen 
Stadthagen, SH Ratsgymnasium (406113);Jahnstraße, 31655 Stadthagen 
Stadtoldendorf, SH (402162);Rumbruchsweg, 37627 Stadtoldendorf 
Steimbke, SH (406114);Schulstraße, 31634 Steimbke 
Stolzenau, SH (406115);Zum Ravensberg, 31592 Stolzenau 
Wunstorf, Hölty - Sportforum (403413);Oswald-Böhlke-Str. 13, 31515 Wunstorf 
Wunstorf, Höltygymnasium I (403414);Gustav-Kohne-Straße 15, 31515 Wunstorf 
Wunstorf, SZ Nordbruch (403411);Nordbruch, 31515 Wunstorf 
Gehrden Lange-Feld-Str. (403402);Lange-Feld-Straße 10, 30989 Gehrden 
Barsinghausen, Am Spalterhals (403203);Am Spalterhals, 30890 Barsinghausen (OT Kirchdorf) 
Barsinghausen, Glück-Auf-Halle (403201);Bergamtstraße, 30890 Barsinghausen 
Barsinghausen, Goethestraße (403202);Goethestraße, 30890 Barsinghausen 
Beachplatz A Herrenhausen (BN008A);Am Großen Garten 3, 30419 Hannover 
Beachplatz Ahlem (BN0010);Petit-Couronne-Straße 23, 30453 Hannover (OT Ahlem) 
Beachplatz B Herrenhausen (BN008B);Am Großen Garten 3, 30419 Hannover 
Beachplatz C Herrenhausen (BN008C);Am Großen Garten 3, 30419 Hannover 
Beachplatz Freibad Hänigsen (BN0060);Am Fließgraben 32, 31311 Uetze (OT Hänigsen) 
Beachplatz Hannoverscher SC (BN0110);Constantinstraße 86, 30177 Hannover 
Beachplatz Neustadt (BN0050);Lindenstraße 50, 31535 Neustadt am Rübenberge 
Beachplatz SC Langenhagen (BN0090);Leibnizstraße 56, 30853 Langenhagen 
Beachplatz Seelze (BN0070);Hannoversche Straße 85, 30926 Seelze 
